id,title,artists,releasename,releaseyear,releaseurl,cd,track,volume,spotify_id
102,Durch Die Nacht,Silbermond,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,3,20,100,6ERqwiMCYA4LArHLw2RRgw
103,Friends,"Marshmello,Anne-Marie",Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,1,1,101,2jQiSYrwJehQAcuaaQrXnS
104,These Days,"Rudimental,Jess Glynne,Macklemore,Dan Caplen",Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,1,2,101,5tsI3xxDHDgzHhn30LTQNz
105,La Cintura,Alvaro Soler,Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,1,3,101,6VUJQqyeQhAZHkQbSDqLtI
106,Mad Love,"Sean Paul,David Guetta,Becky G",Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,1,4,101,7mdzle4J6OHGwZVKTWSKzo
107,Cool,"Felix Jaehn,Marc E. Bassy,Gucci Mane",Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,1,5,101,2V4bv1fNWfTcyRJKmej6Sj
108,Barking,Ramz,Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,1,6,101,2U5cq89GCnsR1yixKkC8d5
109,Colors,Jason Derulo,Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,1,7,101,0UPeymEmoWfsBwPOEcT84z
110,Remind Me To Forget,"Kygo,Miguel (67)",Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,1,8,101,5sIx4BlfYGuZeSLF40N9GH
111,The Middle,"Zedd,Maren Morris,Grey (28)",Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,1,9,101,6GG73Jik4jUlQCkKg9JuGO
112,H.O.L.Y.,"Alle Farben,Rhodes",Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,1,10,101,0BCy325UZyR9z0t0uxwn2N
113,Secrets,Micar,Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,1,11,101,2xB46Bj9HZ4cr058yN4Pla
114,Nevermind,Dennis Lloyd,Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,1,12,101,63SevszngYpZOwf63o61K4
115,Good Vibes,"Alma (27),Tove Styrke",Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,1,13,101,1XVqh0dC0PIl72f2mQhsVt
116,Live In The Moment,Portugal. The Man,Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,1,14,101,60eOMEt3WNVX1m1jmApmnX
117,Everybody Hates Me,The Chainsmokers,Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,1,15,101,5ASFhZRvMbgqRZJtSmwzex
118,Everyday,"Logic (27),Marshmello",Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,1,16,101,2N3U8uTYhjX2KwGT0pf5x0
119,Haie,"Kool Savas,Sido,Nico Santos",Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,1,17,101,2LawezPeJhN4AWuSB0GtAU
120,Psycho,"Post Malone,Ty$",Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,1,18,101,3swc6WTsr7rl9DqQKQA55C
121,Bum Bum Tam Tam,"Mc Fioti,Future,J. Balvin,Stefflon Don,Juan Magan",Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,1,19,101,6k2900NjJeVqZM55G3Danu
122,"1, 2, 3","Sofia Reyes,Jason Derulo,De La Ghetto",Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,1,20,101,4QtiVmuA88tPQiCOHZuQ5b
123,Finesse,Bruno Mars,Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,1,21,101,2WP8G2pdddDmnh1xbfKBOI
124,Sober,"G-Eazy,Charlie Puth",Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,1,22,101,6YuFv5d7iGeNnFMu6xphZl
125,Meant To Be,"Bebe Rexha,Florida Georgia Line",Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,1,23,101,7iDa6hUg2VgEL1o1HjmfBn
126,An Wunder,Wincent Weiss,Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,1,24,101,1I2ziAYoM5rEh5uWBp76Tx
127,In My Blood,Shawn Mendes,Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,2,1,101,188wnEYLBDYNjTqYagZEZZ
128,Say Something,"Justin Timberlake,Chris Stapleton",Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,2,2,101,1G7wqLzQQ3tveTYHcO5uVN
129,Sanctify,Years & Years,Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,2,3,101,26Vcf2qFrnaa0pFJkGFh61
130,Is It Love?,"Rea Garvey,Kool Savas",Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,2,4,101,4Mv9m0x300hzYZgmkdNwKE
131,Next To Me,Imagine Dragons,Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,2,5,101,46haIwbQpVUkpAQj9V84Gp
132,Whatever You Want,P!NK,Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,2,6,101,6yl6TMw87Nq0mWBQtw9muQ
133,Paradise,George Ezra,Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,2,7,101,6nek1Nin9q48AVZcWs9e9D
134,Zusammen,"Die Fantastischen Vier,Clueso",Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,2,8,101,2qZxwP87ynNZbW4JrXp4O8
135,Royals & Kings,"Glasperlenspiel,Summer Cem",Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,2,9,101,5ygpASPn4pq9UtXqbRkW1f
136,Perfect,"Topic,Ally Brooke Hernandez",Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,2,10,101,0tgVpDi06FyKpA1z0VMD4v
137,Nur Zu Zweit Sind Wir Eins,Orry Jackson,Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,2,11,101,6FG1wKJ1XwqHuHrgv3b5wj
138,You Are The Reason,Calum Scott,Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,2,12,101,69vToJ9BMbbLlFZo7k7A7B
139,Trust Fund Baby,Why Don't We,Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,2,13,101,20pl0RVGT7P6L1Jr9p51nw
140,Like I Do,"David Guetta,Martin Garrix,Brooks (11)",Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,2,14,101,6RnkFd8Fqqgk1Uni8RgqCQ
141,That Way,"SDJM,Conor Maynard",Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,2,15,101,1VftatszQvo8tlS9fXo8Ic
142,No Excuses,Meghan Trainor,Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,2,16,101,4PtZE0h5oyPhCtPjg3NeYQ
143,Nobody But You,Cesar Sampson,Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,2,17,101,6VFKuuqSbA1GpMEosUgTwQ
144,Flieger,Helene Fischer,Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,2,18,101,5nshHPZBuAn0kndDRsjeX5
145,Immer Noch Fühlen,Revolverheld,Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,2,19,101,0xMA6U2PmIS2HNsLPq5rwZ
146,Heartbreak Century,Sunrise Avenue,Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,2,20,101,406klWbCDLo9cs7pduRuuF
147,Sanctuary,Welshly Arms,Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,2,21,101,5F1ZmucV0uJY14y2dYKePa
148,Immer Wieder,"Rooz,Motrip",Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,2,22,101,3WETcd4momiYZQifstZlgA
149,Magisch,"Olexesh,Edin",Bravo Hits 101,2018,https://api.discogs.com/releases/21651508,2,23,101,7G7fGz8Wx3ilNnUYEDw0cR
150,Je Ne Parle Pas Francais (Beatgees Remix),Namika,Bravo Hits 102,2018,https://api.discogs.com/releases/12336449,1,1,102,0LH2h4pwiX1iY3KDuONOb6
151,Nervous,Shawn Mendes,Bravo Hits 102,2018,https://api.discogs.com/releases/12336449,1,2,102,1XNAH3h63O1hWFcgyHGbjf
152,Rise,"Jonas Blue,Jack & Jack",Bravo Hits 102,2018,https://api.discogs.com/releases/12336449,1,3,102,51Grh1RyUDcMBbpuyUIUHI
153,Safe,Nico Santos,Bravo Hits 102,2018,https://api.discogs.com/releases/12336449,1,4,102,6Z8R6UsFuGXGtiIxiD8ISb
154,Happier,Ed Sheeran,Bravo Hits 102,2018,https://api.discogs.com/releases/12336449,1,5,102,4RVwu0g32PAqgUiJoXsdF8
155,No Tears Left To Cry,Ariana Grande,Bravo Hits 102,2018,https://api.discogs.com/releases/12336449,1,6,102,2qT1uLXPVPzGgFOx4jtEuo
156,Familiar,"Liam Payne,J. Balvin",Bravo Hits 102,2018,https://api.discogs.com/releases/12336449,1,7,102,2EWnKuspetOzgfBtmaNZvJ
157,We Can Do Better,Matt Simons,Bravo Hits 102,2018,https://api.discogs.com/releases/12336449,1,8,102,1swaftqa6ahRIFf9E48FlN
158,If You're Over Me,Years & Years,Bravo Hits 102,2018,https://api.discogs.com/releases/12336449,1,9,102,3FRTzTsAIslNTwkL3Y18Oi
159,2002,Anne-Marie,Bravo Hits 102,2018,https://api.discogs.com/releases/12336449,1,10,102,2BgEsaKNfHUdlh97KmvFyo
